,hpso01 (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (ICAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (DPrepA) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (DPrepB) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (DPrepC) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso01 (DPrepD) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (ICAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (DPrepA) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (DPrepB) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (DPrepC) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02a (DPrepD) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (ICAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (DPrepA) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (DPrepB) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (DPrepC) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso02b (DPrepD) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso04a (PSS) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],hpso05a (PST) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (Ingest) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (RCAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (FastImg) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (ICAL) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (DPrepA) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (DPrepB) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (DPrepC) [Nf_max=8192] [Na=64] [Bmax=32500.0],max_low (DPrepD) [Nf_max=8192] [Na=64] [Bmax=32500.0]
Max Baseline [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Dump time [s],1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4098838708416743,1.4098838708416743,0.9,9.375,1.4098838708416743,1.4098838708416743,0.9,(undefined),1.4130211445442389,1.4130211445442389,0.9,1.4130211445442389,1.4130211445442389,1.4130211445442389,1.4130211445442389,0.9,0.9
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),9.0,1.0,6.0,3.0,1.0,1.0,(undefined),(undefined),9.0,1.0,4.0,3.0,1.0,1.0,(undefined),(undefined),9.0,1.0,4.0,3.0,1.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),8.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),4.3136383541319105,1.000001053198705,6.406860304145448,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),4.3136383541319105,1.000001053198705,6.406860304129147,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),4.3136383541319105,1.000001053198705,6.406860304129147,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),3.459613420933323,1.0000004203667197,(undefined),(undefined),3.459613420933323,1.0000004203667197,(undefined),(undefined),5.301735675216203,1.0000010628828373,8.87284199185355,15.01781310102638,14.651406098827504,9.825325316930568,2.409020296687958,(undefined)
w-stacking planes predict,(undefined),4.3136383541319105,1.000001053198705,6.406860304145448,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),4.3136383541319105,1.000001053198705,6.406860304129147,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),4.3136383541319105,1.000001053198705,6.406860304129147,4.867502061106795,9.17146382078401,9.431630642234941,(undefined),(undefined),3.459613420933323,1.0000004203667197,(undefined),(undefined),3.459613420933323,1.0000004203667197,(undefined),(undefined),5.301735675216203,1.0000010628828373,8.87284199185355,15.01781310102638,14.651406098827504,9.825325316930568,2.409020296687958,(undefined)
Stations/antennas,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002
Baseline fraction [per bin]3 [%],18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),5.697143367984062,15.825398244400175,8.545715051976094,6.33015929776007,15.825398244400175,15.825398244400175,(undefined),(undefined),5.697143367984062,15.825398244400175,8.545715051976094,6.33015929776007,15.825398244400175,15.825398244400175,(undefined),(undefined),5.697143367984062,15.825398244400175,8.545715051976094,6.33015929776007,15.825398244400175,15.825398244400175,(undefined),(undefined),3.9167315921961863,6.044338876845966,(undefined),(undefined),3.9167315921961863,6.044338876845966,(undefined),(undefined),5.862053147160686,14.474205301631324,9.379285035457098,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,31.056874569264956,11.800624066612665,11.800624066612665,11.800624066612665,(undefined),11.800624066612665,11.800624066612665,11.800624066612665,(undefined),28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954,28.384518758958954
Pixel size [arcs],6.211374913852991,6.211374913852991,10.352291523088319,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,10.352291523088319,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,10.352291523088319,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,6.211374913852991,2.3601248133225328,2.3601248133225328,3.9335413555375545,(undefined),2.3601248133225328,2.3601248133225328,3.9335413555375545,(undefined),5.67690375179179,5.67690375179179,9.461506252986318,5.67690375179179,5.67690375179179,5.67690375179179,5.67690375179179,5.67690375179179,5.67690375179179
Facet side length [pixels],(undefined),3301.960742862356,5503.267904770594,4952.941114293533,3668.845269847062,9172.113174617656,9172.113174617656,(undefined),(undefined),3301.960742862356,5503.267904770594,4952.941114293533,3668.845269847062,9172.113174617656,9172.113174617656,(undefined),(undefined),3301.960742862356,5503.267904770594,4952.941114293533,3668.845269847062,9172.113174617656,9172.113174617656,(undefined),(undefined),5974.359344180728,5531.814207574748,(undefined),(undefined),5974.359344180728,5531.814207574748,(undefined),(undefined),3717.4122113868234,5507.277350202699,5947.859538218918,9178.795583671168,9178.795583671168,9178.795583671168,9178.795583671168,(undefined)
Image side length [pixels],9172.113174617656,24764.70557146767,5503.267904770593,24764.70557146767,9172.113174617656,9172.113174617656,9172.113174617656,9172.113174617656,9172.113174617656,24764.70557146767,5503.267904770593,16509.80371431178,9172.113174617656,9172.113174617656,9172.113174617656,9172.113174617656,9172.113174617656,24764.70557146767,5503.267904770593,16509.80371431178,9172.113174617656,9172.113174617656,9172.113174617656,9172.113174617656,9219.690345957912,24893.163934086366,5531.814207574747,(undefined),9219.690345957912,24893.163934086366,5531.814207574747,(undefined),9178.795583671168,24782.74807591215,5507.2773502027,24782.74807591215,9178.795583671168,9178.795583671168,9178.795583671168,9178.795583671168,9178.795583671168
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),3852.2875333394154,3852.2875333394154,3852.2875333394154,(undefined),(undefined),(undefined),(undefined),(undefined),3852.2875333394154,3852.2875333394154,3852.2875333394154,(undefined),(undefined),(undefined),(undefined),(undefined),3852.2875333394154,3852.2875333394154,3852.2875333394154,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),3855.09414514189,3855.09414514189,3855.09414514189,3855.09414514189,(undefined)
Grid side dimension [lambda],33207.592378149944,33207.592378149944,19924.55542688997,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,19924.55542688997,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,19924.55542688997,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,33207.592378149944,87395.71953261286,87395.71953261286,52437.431719567714,(undefined),87395.71953261286,87395.71953261286,52437.431719567714,(undefined),36334.03264622787,36334.03264622787,21800.419587736716,36334.03264622787,36334.03264622787,36334.03264622787,36334.03264622787,36334.03264622787,36334.03264622787
Baselines dimension [lambda],19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,19924.555426889965,52437.431719567714,52437.431719567714,52437.431719567714,(undefined),52437.431719567714,52437.431719567714,52437.431719567714,(undefined),21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672,21800.41958773672
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.684251467916443,11.308286273491978,1.0,11.308286273491978,29.684251467916443,29.684251467916443,15.3,15.3,29.684251467916443,11.308286273491978,1.0,16.962429410237966,29.684251467916443,29.684251467916443,15.3,15.3,29.684251467916443,11.308286273491978,1.0,16.962429410237966,29.684251467916443,29.684251467916443,15.3,15.3,29.60756128767516,11.279070966733395,1.0,(undefined),29.60756128767516,11.279070966733395,1.0,(undefined),29.673444035429018,11.304169156353911,1.0,11.304169156353911,29.673444035429018,29.673444035429018,29.673444035429018,15.3,15.3
Coalesce time full1 [s],14.135357841864973,5.654143136745989,1.0,5.654143136745989,14.135357841864973,14.135357841864973,7.2,7.2,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.2,7.2,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.2,7.2,14.098838708416743,5.639535483366697,1.0,,14.098838708416743,5.639535483366697,1.0,,14.130211445442388,5.6520845781769555,1.0,5.6520845781769555,14.130211445442388,14.130211445442388,14.130211445442388,7.2,7.2
