,hpso01 (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (ICAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (DPrepA) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (DPrepB) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (DPrepC) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso01 (DPrepD) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (ICAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (DPrepA) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (DPrepB) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (DPrepC) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02a (DPrepD) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (ICAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (DPrepA) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (DPrepB) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (DPrepC) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso02b (DPrepD) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso04a (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso04a (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso04a (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso04a (PSS) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso05a (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso05a (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso05a (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],hpso05a (PST) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (Ingest) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (RCAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (FastImg) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (ICAL) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (DPrepA) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (DPrepA_Image) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (DPrepB) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (DPrepC) [Nf_max=8192] [Na=128] [Bmax=16250.0],max_low (DPrepD) [Nf_max=8192] [Na=128] [Bmax=16250.0]
Max Baseline [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Dump time [s],2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8197677416833486,2.8197677416833486,1.0,9.375,2.8197677416833486,2.8197677416833486,1.0,(undefined),2.8260422890884778,2.8260422890884778,1.0,2.8260422890884778,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.4539867623947131,1.4539867623947131
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),4.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),4.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),4.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),13.392630042787095,1.000002639025892,42.886858640746745,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),13.392630042787095,1.000002639025892,30.854858126005887,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),13.392630042787095,1.000002639025892,30.854858126005887,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),19.727190453062274,1.000001582593888,(undefined),(undefined),19.727190453062274,1.000001582593888,(undefined),(undefined),45.68141397764213,1.0000031451332214,45.68141397747612,18.539970636983806,18.3999045399885,12.106845448151804,3.438366491514955,(undefined)
w-stacking planes predict,(undefined),13.392630042787095,1.000002639025892,42.886858640746745,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),13.392630042787095,1.000002639025892,30.854858126005887,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),13.392630042787095,1.000002639025892,30.854858126005887,17.118430507060168,11.211867834378811,12.312067717045606,(undefined),(undefined),19.727190453062274,1.000001582593888,(undefined),(undefined),19.727190453062274,1.000001582593888,(undefined),(undefined),45.68141397764213,1.0000031451332214,45.68141397747612,18.539970636983806,18.3999045399885,12.106845448151804,3.438366491514955,(undefined)
Stations/antennas,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),12.818572577964142,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),12.818572577964142,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),12.818572577964142,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,62.11374913852991,23.60124813322533,23.60124813322533,23.60124813322533,(undefined),23.60124813322533,23.60124813322533,23.60124813322533,(undefined),56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791,56.76903751791791
Pixel size [arcs],12.422749827705982,12.422749827705982,20.704583046176637,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,20.704583046176637,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,20.704583046176637,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,12.422749827705982,4.7202496266450655,4.7202496266450655,7.867082711075109,(undefined),4.7202496266450655,4.7202496266450655,7.867082711075109,(undefined),11.35380750358358,11.35380750358358,18.923012505972636,11.35380750358358,11.35380750358358,11.35380750358358,11.35380750358358,11.35380750358358,11.35380750358358
Facet side length [pixels],(undefined),3714.7058357201504,2751.633952385297,12382.352785733836,4586.056587308828,4586.056587308828,4586.056587308828,(undefined),(undefined),3714.7058357201504,2751.633952385297,8254.90185715589,4586.056587308828,4586.056587308828,4586.056587308828,(undefined),(undefined),3714.7058357201504,2751.633952385297,8254.90185715589,4586.056587308828,4586.056587308828,4586.056587308828,(undefined),(undefined),12446.581967043183,2765.907103787374,(undefined),(undefined),12446.581967043183,2765.907103787374,(undefined),(undefined),12391.374037956077,2753.6386751013497,12391.374037956077,4589.397791835584,4589.397791835584,4589.397791835584,4589.397791835584,(undefined)
Image side length [pixels],4586.056587308828,12382.352785733836,2751.6339523852967,12382.352785733836,4586.056587308828,4586.056587308828,4586.056587308828,4586.056587308828,4586.056587308828,12382.352785733836,2751.6339523852967,8254.90185715589,4586.056587308828,4586.056587308828,4586.056587308828,4586.056587308828,4586.056587308828,12382.352785733836,2751.6339523852967,8254.90185715589,4586.056587308828,4586.056587308828,4586.056587308828,4586.056587308828,4609.845172978956,12446.581967043183,2765.9071037873737,(undefined),4609.845172978956,12446.581967043183,2765.9071037873737,(undefined),4589.397791835584,12391.374037956075,2753.63867510135,12391.374037956075,4589.397791835584,4589.397791835584,4589.397791835584,4589.397791835584,4589.397791835584
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),1926.1437666697077,1926.1437666697077,1926.1437666697077,(undefined),(undefined),(undefined),(undefined),(undefined),1926.1437666697077,1926.1437666697077,1926.1437666697077,(undefined),(undefined),(undefined),(undefined),(undefined),1926.1437666697077,1926.1437666697077,1926.1437666697077,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),1927.547072570945,1927.547072570945,1927.547072570945,1927.547072570945,(undefined)
Grid side dimension [lambda],16603.796189074972,16603.796189074972,9962.277713444984,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,9962.277713444984,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,9962.277713444984,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,16603.796189074972,43697.85976630643,43697.85976630643,26218.715859783857,(undefined),43697.85976630643,43697.85976630643,26218.715859783857,(undefined),18167.016323113934,18167.016323113934,10900.209793868358,18167.016323113934,18167.016323113934,18167.016323113934,18167.016323113934,18167.016323113934,18167.016323113934
Baselines dimension [lambda],9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,9962.277713444983,26218.715859783857,26218.715859783857,26218.715859783857,(undefined),26218.715859783857,26218.715859783857,26218.715859783857,(undefined),10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836,10900.20979386836
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],28.270715683729946,11.308286273491978,1.0,11.308286273491978,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.270715683729946,11.308286273491978,1.0,16.962429410237966,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.270715683729946,11.308286273491978,1.0,16.962429410237966,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.197677416833486,11.279070966733395,1.0,(undefined),28.197677416833486,11.279070966733395,1.0,(undefined),28.260422890884776,11.304169156353911,1.0,11.304169156353911,28.260422890884776,28.260422890884776,28.260422890884776,14.539867623947131,14.539867623947131
Coalesce time full1 [s],14.135357841864973,5.654143136745989,1.0,5.654143136745989,14.135357841864973,14.135357841864973,7.272581611088732,7.272581611088732,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.272581611088732,7.272581611088732,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.272581611088732,7.272581611088732,14.098838708416743,5.639535483366697,1.0,,14.098838708416743,5.639535483366697,1.0,,14.130211445442388,5.6520845781769555,1.0,5.6520845781769555,14.130211445442388,14.130211445442388,14.130211445442388,7.269933811973566,7.269933811973566
Coalesce time full2 [s],5.654143136745989,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.654143136745989,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.654143136745989,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.639535483366697,2.8197677416833486,1.0,,5.639535483366697,2.8197677416833486,1.0,,5.6520845781769555,2.8260422890884778,1.0,2.8260422890884778,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,2.9079735247894263
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
